Please enter the name of a loan terms file: 
You entered refiOptions.tab          
Loan # 1
Initial Balance: $    170000.00
    Years to Pay:            15
   Interest Rate:        2.875%

Monthly Payment: $   1163.80

Period   Principal    Interest      Balance
     1      756.50      407.29    169243.50
     2      758.32      405.48    168485.18
     3      760.13      403.66    167725.05
     4      761.95      401.84    166963.09
     5      763.78      400.02    166199.31
     6      765.61      398.19    165433.70
     7      767.44      396.35    164666.26
     8      769.28      394.51    163896.97
     9      771.13      392.67    163125.85
    10      772.97      390.82    162352.88
    11      774.83      388.97    161578.05
    12      776.68      387.11    160801.37

   169     1130.85       32.94     12619.62
   170     1133.56       30.23     11486.06
   171     1136.28       27.52     10349.78
   172     1139.00       24.80      9210.78
   173     1141.73       22.07      8069.06
   174     1144.46       19.33      6924.59
   175     1147.21       16.59      5777.39
   176     1149.95       13.84      4627.43
   177     1152.71       11.09      3474.72
   178     1155.47        8.32      2319.25
   179     1158.24        5.56      1161.01
   180     1161.01        2.78         0.00

Total Interest: $    39483.23
Total Payments: $   209483.23

Loan # 2
Initial Balance: $    170000.00
    Years to Pay:            20
   Interest Rate:        3.000%

Monthly Payment: $    942.82

Period   Principal    Interest      Balance
     1      517.82      425.00    169482.18
     2      519.11      423.71    168963.07
     3      520.41      422.41    168442.67
     4      521.71      421.11    167920.96
     5      523.01      419.80    167397.94
     6      524.32      418.49    166873.62
     7      525.63      417.18    166347.99
     8      526.95      415.87    165821.04
     9      528.26      414.55    165292.78
    10      529.58      413.23    164763.20
    11      530.91      411.91    164232.29
    12      532.24      410.58    163700.05

   229      914.99       27.83     10217.08
   230      917.27       25.54      9299.81
   231      919.57       23.25      8380.24
   232      921.87       20.95      7458.38
   233      924.17       18.65      6534.21
   234      926.48       16.34      5607.73
   235      928.80       14.02      4678.93
   236      931.12       11.70      3747.81
   237      933.45        9.37      2814.36
   238      935.78        7.04      1878.58
   239      938.12        4.70       940.46
   240      940.46        2.35         0.00

Total Interest: $    56275.82
Total Payments: $   226275.82

Loan # 3
Initial Balance: $    170000.00
    Years to Pay:            30
   Interest Rate:        3.500%

Monthly Payment: $    763.38

Period   Principal    Interest      Balance
     1      267.54      495.83    169732.46
     2      268.32      495.05    169464.13
     3      269.11      494.27    169195.03
     4      269.89      493.49    168925.14
     5      270.68      492.70    168654.46
     6      271.47      491.91    168382.99
     7      272.26      491.12    168110.73
     8      273.05      490.32    167837.68
     9      273.85      489.53    167563.83
    10      274.65      488.73    167289.18
    11      275.45      487.93    167013.73
    12      276.25      487.12    166737.48

   349      737.16       26.22      8252.02
   350      739.31       24.07      7512.72
   351      741.46       21.91      6771.25
   352      743.63       19.75      6027.63
   353      745.80       17.58      5281.83
   354      747.97       15.41      4533.86
   355      750.15       13.22      3783.71
   356      752.34       11.04      3031.37
   357      754.53        8.84      2276.83
   358      756.74        6.64      1520.10
   359      758.94        4.43       761.16
   360      761.16        2.22         0.00

Total Interest: $   104815.35
Total Payments: $   274815.35

